latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.47427,100.93578,330.65,0.49,0.49,2026-08-24,0546,N20,low,2.0NRT,303.91,2.82,D
38.49623,100.90948,344.82,0.49,0.49,2026-08-24,0546,N20,nominal,2.0NRT,304.81,6.37,D
29.44623,71.34816,330.18,0.7,0.75,2026-08-24,0724,N20,nominal,2.0NRT,291.13,4.94,D
29.44842,71.34847,331.34,0.7,0.75,2026-08-24,0724,N20,nominal,2.0NRT,291.57,3.39,D
32.00023,78.53627,343.6,0.47,0.48,2026-08-24,0724,N20,nominal,2.0NRT,309.57,8.91,D
38.04931,67.26972,349.52,0.68,0.74,2026-08-24,0729,N20,nominal,2.0NRT,309.02,9.98,D
38.0471,67.2627,339.2,0.68,0.74,2026-08-24,0729,N20,nominal,2.0NRT,311.31,10.19,D
7.6086,80.96409,330.39,0.5,0.66,2026-08-24,0718,N20,nominal,2.0NRT,287.29,4.45,D
7.61053,80.94074,347.57,0.5,0.66,2026-08-24,0718,N20,nominal,2.0NRT,288.7,9.16,D
7.81332,81.36693,337.45,0.47,0.64,2026-08-24,0718,N20,nominal,2.0NRT,291.1,8.4,D
8.57232,80.63769,330.12,0.51,0.66,2026-08-24,0718,N20,nominal,2.0NRT,284.82,5.38,D
8.64573,80.44996,329.18,0.52,0.67,2026-08-24,0718,N20,nominal,2.0NRT,284.62,3.05,D
8.64628,80.44923,329.25,0.52,0.67,2026-08-24,0718,N20,nominal,2.0NRT,283.85,3.77,D
9.14568,80.51594,330.96,0.51,0.66,2026-08-24,0718,N20,nominal,2.0NRT,288.23,4.87,D
20.95841,94.86646,332.96,0.43,0.46,2026-08-24,0720,N20,nominal,2.0NRT,287.09,6.36,D
28.78677,80.20897,340.9,0.44,0.46,2026-08-24,0724,N20,nominal,2.0NRT,290.16,3.79,D
28.79093,80.20787,333.93,0.44,0.46,2026-08-24,0724,N20,nominal,2.0NRT,289.65,3.79,D
6.47197,81.11274,330.91,0.51,0.66,2026-08-24,0718,N20,nominal,2.0NRT,289.01,5.51,D
6.74966,81.36375,327.62,0.49,0.65,2026-08-24,0718,N20,nominal,2.0NRT,291.98,3.22,D
6.74889,81.35938,341.05,0.49,0.65,2026-08-24,0718,N20,nominal,2.0NRT,292.09,3.22,D
6.8017,81.55667,343.17,0.47,0.64,2026-08-24,0718,N20,nominal,2.0NRT,290.88,7.19,D
6.75308,81.36101,345.34,0.49,0.65,2026-08-24,0718,N20,nominal,2.0NRT,292.2,4.92,D
6.80059,81.55444,343.71,0.47,0.64,2026-08-24,0718,N20,nominal,2.0NRT,290.91,9.2,D
7.00006,81.4677,330.63,0.48,0.64,2026-08-24,0718,N20,nominal,2.0NRT,288.18,3.3,D
7.15777,81.74757,332.19,0.45,0.63,2026-08-24,0718,N20,nominal,2.0NRT,293.24,3.19,D
7.16109,81.79283,332.68,0.45,0.63,2026-08-24,0718,N20,nominal,2.0NRT,294.3,2.59,D
7.15308,81.74905,331.35,0.45,0.63,2026-08-24,0718,N20,nominal,2.0NRT,293.55,2.04,D
7.0971,81.07424,330.51,0.5,0.66,2026-08-24,0718,N20,nominal,2.0NRT,283.64,5.28,D
7.28014,81.83306,332.42,0.44,0.63,2026-08-24,0718,N20,nominal,2.0NRT,291.37,4.3,D
7.29635,81.8458,342.57,0.44,0.62,2026-08-24,0718,N20,nominal,2.0NRT,291.18,5.42,D
7.29492,81.83794,330.85,0.44,0.63,2026-08-24,0718,N20,nominal,2.0NRT,292.07,6.93,D
7.31624,81.82598,331.39,0.44,0.63,2026-08-24,0718,N20,nominal,2.0NRT,291.51,6.33,D
7.32406,81.83678,340.48,0.44,0.63,2026-08-24,0718,N20,nominal,2.0NRT,291.42,8.61,D
7.38912,81.76433,332.9,0.45,0.63,2026-08-24,0718,N20,nominal,2.0NRT,288.3,3.65,D
33.29322,71.18797,332.85,0.38,0.59,2026-08-24,0905,N20,nominal,2.0NRT,301.27,3.16,D
