latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
23.27915,54.26424,315.55,1.76,1.3,2026-08-24,0037,A,90,6.1NRT,298.74,25.2,N
18.01487,54.58631,307.63,2.4,1.49,2026-08-24,0037,A,66,6.1NRT,294.77,20.24,N
29.99304,55.85932,301.31,1.64,1.26,2026-08-24,0035,A,40,6.1NRT,284.14,15.09,N
32.2703,100.34481,305.41,1.11,1.05,2026-08-24,0230,T,40,6.1NRT,291.08,5.65,D
31.80082,101.90928,303.33,1.34,1.15,2026-08-24,0230,T,44,6.1NRT,288.24,7.74,D
37.79556,77.54589,322.84,1.13,1.06,2026-08-24,0406,T,73,6.1NRT,301.68,11.52,D
37.79353,77.55821,319.78,1.13,1.06,2026-08-24,0406,T,53,6.1NRT,304.48,7.19,D
34.30558,84.05185,301.56,3.26,1.71,2026-08-24,0406,T,26,6.1NRT,282.64,17.36,D
37.93491,57.11483,318.48,1.86,1.33,2026-08-24,0544,T,43,6.1NRT,303.02,15.96,D
37.0839,55.16947,317.06,1.49,1.21,2026-08-24,0544,T,30,6.1NRT,301.29,10.22,D
36.67343,55.30578,317.18,1.55,1.23,2026-08-24,0544,T,29,6.1NRT,305,6.33,D
36.4842,54.99377,318.4,1.5,1.21,2026-08-24,0544,T,46,6.1NRT,304.26,8.68,D
28.31124,55.90249,323.41,2.63,1.56,2026-08-24,0546,T,48,6.1NRT,309.08,32.78,D
26.60241,101.50104,312.97,1.64,1.26,2026-08-24,0813,A,48,6.1NRT,297.38,11.76,D
26.57156,101.27583,310.29,1.7,1.28,2026-08-24,0813,A,51,6.1NRT,295.48,10.65,D
30.56543,101.3557,311.62,1.4,1.17,2026-08-24,0816,A,72,6.1NRT,294.86,14.46,D
32.14555,100.46874,302.99,1.48,1.2,2026-08-24,0816,A,36,6.1NRT,290.17,5.95,D
36.77229,101.41418,308.88,1.11,1.05,2026-08-24,0818,A,31,6.1NRT,297.23,5.37,D
7.10368,81.06855,310.99,1.91,1.35,2026-08-24,0947,A,44,6.1NRT,291.75,11.44,D
7.15585,80.96474,315.12,1.95,1.36,2026-08-24,0947,A,63,6.1NRT,294.81,20.04,D
7.36468,81.77213,315.93,1.67,1.27,2026-08-24,0947,A,61,6.1NRT,292.7,10.45,D
8.84099,80.46378,320.45,1.98,1.37,2026-08-24,0947,A,52,6.1NRT,287.94,35.07,D
32.39951,75.70441,311.52,1.48,1.2,2026-08-24,0954,A,17,6.1NRT,296.07,7.03,D
27.15518,56.09709,331.94,1.03,1.01,2026-08-24,1132,A,59,6.1NRT,318.74,8,D
6.89037,81.63742,308.29,1.23,1.1,2026-08-24,1459,T,74,6.1NRT,293.66,6.76,N
6.88884,81.62671,328.12,1.23,1.1,2026-08-24,1459,T,100,6.1NRT,293.99,31.68,N
7.21384,81.72814,304.13,1.2,1.09,2026-08-24,1459,T,13,6.1NRT,286.12,5.51,N
7.22337,81.72671,306.06,1.2,1.09,2026-08-24,1459,T,41,6.1NRT,286.34,6.39,N
7.22185,81.71623,303.84,1.2,1.09,2026-08-24,1459,T,13,6.1NRT,286.99,4.51,N
7.43022,81.24709,306.4,1.27,1.12,2026-08-24,1459,T,68,6.1NRT,293.77,4.68,N
7.63537,80.97253,306.06,1.32,1.14,2026-08-24,1459,T,35,6.1NRT,291.9,8.17,N
8.43192,80.25041,307.69,1.43,1.18,2026-08-24,1501,T,70,6.1NRT,284.6,10.98,N
38.00071,77.03436,302.34,1,1,2026-08-24,1509,T,48,6.1NRT,291.15,5.17,N
37.99919,77.02335,301.46,1,1,2026-08-24,1509,T,41,6.1NRT,291.08,4.71,N
17.97099,54.52301,310.36,1.22,1.1,2026-08-24,1641,T,70,6.1NRT,297.84,7.51,N
