latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.49621,100.90762,332.36,0.52,0.67,2026-08-24,0525,N,nominal,2.0NRT,301.53,2.89,D
20.96418,94.86232,333.63,0.39,0.36,2026-08-24,0701,N,nominal,2.0NRT,291.78,1.74,D
22.73743,100.50676,343.66,0.4,0.45,2026-08-24,0701,N,nominal,2.0NRT,290.28,8.98,D
22.79431,100.87514,332.19,0.43,0.46,2026-08-24,0701,N,nominal,2.0NRT,295.18,3.12,D
22.97566,100.16389,334.98,0.39,0.44,2026-08-24,0701,N,nominal,2.0NRT,290.48,2.25,D
23.99773,101.07072,328.2,0.45,0.47,2026-08-24,0701,N,nominal,2.0NRT,286.88,4.56,D
26.62234,101.59583,332.77,0.53,0.5,2026-08-24,0701,N,nominal,2.0NRT,293.98,4.17,D
29.66766,91.91384,329.32,0.39,0.36,2026-08-24,0703,N,nominal,2.0NRT,292.36,2.43,D
29.08405,88.01155,330.14,0.55,0.43,2026-08-24,0703,N,nominal,2.0NRT,304.52,4.66,D
31.99853,78.5369,333.62,0.54,0.68,2026-08-24,0705,N,nominal,2.0NRT,298.58,4.85,D
6.52771,81.11231,332.84,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,294.46,4.55,D
6.74807,81.51759,332.68,0.32,0.55,2026-08-24,0837,N,nominal,2.0NRT,291.31,2.92,D
36.74884,101.49651,333.12,0.34,0.56,2026-08-24,0705,N,nominal,2.0NRT,298.49,2.23,D
6.71762,81.08398,336.16,0.6,0.53,2026-08-24,0837,N,nominal,2.0NRT,289.92,7.81,D
6.79838,81.44492,332.22,0.63,0.54,2026-08-24,0837,N,nominal,2.0NRT,290.14,5.18,D
38.47813,100.93155,351.08,0.32,0.55,2026-08-24,0705,N,nominal,2.0NRT,301.83,4.82,D
6.85608,81.75537,354.45,0.33,0.55,2026-08-24,0837,N,nominal,2.0NRT,292.1,17.37,D
7.15503,80.97341,345.3,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,294.49,13.5,D
38.48378,100.86329,337.02,0.32,0.55,2026-08-24,0705,N,nominal,2.0NRT,300.24,2.53,D
7.16668,81.01984,330.62,0.6,0.53,2026-08-24,0837,N,nominal,2.0NRT,295.18,4.18,D
7.16001,80.97327,341.89,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,294.59,15.32,D
38.49702,100.90741,330.39,0.32,0.55,2026-08-24,0705,N,low,2.0NRT,302.26,2.5,D
7.15935,80.96866,339.98,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,294.89,15.32,D
7.1649,80.97253,343.27,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,296.97,15.32,D
7.16425,80.96798,350.82,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,296.84,15.32,D
7.15662,80.97082,352.63,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,295.98,22.92,D
7.16158,80.97058,367,0.59,0.53,2026-08-24,0837,N,high,2.0NRT,298.01,22.92,D
7.16641,80.96938,354.16,0.59,0.53,2026-08-24,0837,N,nominal,2.0NRT,294.2,20.36,D
7.30441,81.79688,332.84,0.34,0.56,2026-08-24,0837,N,nominal,2.0NRT,290.93,2.08,D
7.31644,81.84643,339.07,0.34,0.56,2026-08-24,0837,N,nominal,2.0NRT,291.41,2.89,D
7.32001,81.79483,351.6,0.34,0.56,2026-08-24,0837,N,nominal,2.0NRT,290.42,5.67,D
7.30329,81.19003,338.57,0.62,0.54,2026-08-24,0837,N,nominal,2.0NRT,293.6,9.89,D
7.38769,81.77917,351.78,0.34,0.56,2026-08-24,0837,N,nominal,2.0NRT,291.45,5.9,D
7.34063,81.42898,330.92,0.32,0.55,2026-08-24,0837,N,nominal,2.0NRT,292.17,2.2,D
7.44249,81.39476,330.5,0.32,0.55,2026-08-24,0837,N,nominal,2.0NRT,293.64,2.24,D
7.69291,81.59333,335.54,0.33,0.56,2026-08-24,0839,N,nominal,2.0NRT,289.91,3.38,D
7.88901,80.67115,343.1,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,290.9,6.95,D
8.01478,80.62977,330.11,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,289.11,4.21,D
8.01957,80.31305,342.68,0.55,0.51,2026-08-24,0839,N,nominal,2.0NRT,289.59,6.13,D
8.30899,80.57829,332.05,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,288.19,4.19,D
8.49439,80.82851,341.74,0.61,0.53,2026-08-24,0839,N,nominal,2.0NRT,287.07,15.6,D
8.56913,80.77627,337.4,0.6,0.53,2026-08-24,0839,N,nominal,2.0NRT,288.92,6.43,D
8.61324,80.83712,356.02,0.61,0.53,2026-08-24,0839,N,nominal,2.0NRT,283.41,26.33,D
8.61819,80.8364,334.97,0.61,0.53,2026-08-24,0839,N,nominal,2.0NRT,281.66,26.33,D
8.56977,80.46552,338.31,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,286.46,9.45,D
8.62935,80.6543,331.68,0.59,0.53,2026-08-24,0839,N,nominal,2.0NRT,288.33,11.03,D
8.62862,80.64883,340.74,0.59,0.53,2026-08-24,0839,N,nominal,2.0NRT,288.93,10.64,D
8.92843,80.69376,340.86,0.6,0.53,2026-08-24,0839,N,nominal,2.0NRT,290.6,7.31,D
8.92972,80.69118,339.81,0.6,0.53,2026-08-24,0839,N,nominal,2.0NRT,287.48,9.03,D
8.86875,78.15804,341.5,0.41,0.45,2026-08-24,0839,N,nominal,2.0NRT,289.45,5.2,D
8.86698,78.08605,332.97,0.41,0.45,2026-08-24,0839,N,nominal,2.0NRT,286.72,3.33,D
9.4129,80.40137,341.51,0.59,0.52,2026-08-24,0839,N,nominal,2.0NRT,294.88,12.45,D
9.41015,80.39861,349.18,0.59,0.53,2026-08-24,0839,N,nominal,2.0NRT,295.47,11.22,D
9.42267,80.38055,330.97,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,293.91,3.37,D
9.61269,80.30055,334.09,0.58,0.52,2026-08-24,0839,N,nominal,2.0NRT,294.89,1.85,D
